iter	Passed	Remaining
870	2638	390
871	2640	387
872	2644	384
873	2646	381
874	2652	378
875	2653	375
876	2655	372
877	2657	369
878	2659	366
879	2662	363
880	2667	360
881	2670	357
882	2674	354
883	2677	351
884	2681	348
885	2684	345
886	2686	342
887	2688	339
888	2690	335
889	2692	332
890	2697	329
891	2698	326
892	2700	323
893	2701	320
894	2703	317
895	2705	313
896	2706	310
897	2708	307
898	2711	304
899	2713	301
900	2715	298
901	2717	295
902	2719	292
903	2720	288
904	2722	285
905	2723	282
906	2728	279
907	2730	276
908	2731	273
909	2733	270
910	2735	267
911	2736	264
912	2738	260
913	2740	257
914	2742	254
915	2744	251
916	2745	248
917	2747	245
918	2748	242
919	2750	239
920	2752	236
921	2753	232
922	2757	230
923	2759	226
924	2761	223
925	2763	220
926	2765	217
927	2767	214
928	2769	211
929	2771	208
930	2775	205
931	2778	202
932	2779	199
933	2782	196
934	2783	193
935	2786	190
936	2787	187
937	2789	184
938	2791	181
939	2792	178
940	2794	175
941	2795	172
942	2797	169
943	2798	166
944	2801	163
945	2803	160
946	2804	156
947	2806	153
948	2808	150
949	2809	147
950	2811	144
951	2812	141
952	2815	138
953	2817	135
954	2819	132
955	2821	129
956	2822	126
957	2823	123
958	2825	120
959	2827	117
960	2832	114
961	2837	112
962	2840	109
963	2842	106
964	2850	103
965	2853	100
966	2857	97
967	2866	94
968	2880	92
969	2883	89
970	2884	86
971	2886	83
972	2888	80
973	2890	77
974	2892	74
975	2895	71
976	2899	68
977	2901	65
978	2902	62
979	2904	59
980	2911	56
981	2912	53
982	2915	50
983	2916	47
984	2918	44
985	2919	41
986	2921	38
987	2926	35
988	2929	32
989	2931	29
990	2932	26
991	2934	23
992	2939	20
993	2941	17
994	2942	14
995	2946	11
996	2947	8
997	2949	5
998	2954	2
999	2956	0
